 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
average,,,,57940.79051,2457940.791,2457940.79,2457940.796,#DIV/0!,2.114432333,28.09735133,-26.87688333,120,18.529422,-14.315436,9,20,30,2.362288333,0.223776667,0.379972667,1.182432,0.004971333,0.001382667,0.001758,0.004788667,475.313719,161.920844,216.2376743,247.0029133,725585.2654,1426.059225,691.3717077,363.5915153,691.8717077,660.9084847,1714202.24,1286.5132,1332.257203,26220.08268,9370.743515,2550.830672,9.478531333,9.511774667,9.445288,136.1765803,0.998782,23468459.6,624.3971857,297.6658817,624.8971857,726.8341183,132676.0767,774.3308883,171.3440517,4310.146484,3062.200849,2535.727645,9.636676,9.411660333,9.861692,79.503008,0.997051,128356.8376,716.7378173,247.9460457,717.2378173,776.5539543,199786.6173,809.0219903,246.949372,5361.667318,3321.267027,2540.850553,9.456834333,9.515506,9.398163,37.16028167,0.998640333,334563.6339,716.3356207,548.2557147,716.8356207,476.2442853,393122.5714,882.9117637,445.248698,7762.017416,4068.768181,2528.955952,9.610584667,9.607696667,9.613472667,50.32637667,0.997724667,1166369.72
average,,,,57950.59617,2457950.596,2457950.596,2457950.602,#DIV/0!,2.347013,25.07294533,-26.88945633,30,18.529422,-14.315436,9,20,30,3.286831667,0.231032667,0.391262,1.140104667,0.059096,0.013228667,0.016586333,0.037247333,104.1962543,33.046621,45.26543333,51.77076967,83581.19775,766.6274473,576.273622,496.2060973,576.773622,528.2939027,274405.3184,592.363445,429.503181,4961.753418,1917.472727,834.59081,9.085276,8.908703667,9.261848,142.0870063,0.997785667,857435.604,509.2750617,429.966239,509.7750617,594.533761,15146.45003,432.655403,34.77826567,1065.186035,892.0382817,832.6602017,9.567739667,8.856506333,10.27897267,217.4662623,0.954894333,2669.860088,602.004581,380.5762613,602.504581,643.9237387,22858.50819,438.83044,51.493968,1191.22347,923.8714743,834.3592907,8.998708667,8.901988667,9.095429333,166.226243,0.993852333,6127.824952,600.9071407,680.890815,601.4071407,343.609185,45576.23953,455.9225863,97.63040767,1542.302531,1013.432749,835.1406027,9.300261,9.181388,9.419134,167.4595117,0.995452667,23980.50974
Average,,,,57951.65606,2457951.656,2457951.656,2457951.662,#DIV/0!,1.87728,32.07591033,-26.92193667,30,18.529422,-14.315436,10,20,30,3.155200333,0.227746,0.371280333,1.192356333,0.016305333,0.003525333,0.004339667,0.012327333,214.9420857,73.21030367,96.00700733,110.017577,136435.5054,606.3875093,467.2312093,391.1508057,467.7312093,633.3491943,431307.9762,614.410181,688.80556,5815.757324,1682.359087,308.771737,10.04003133,10.647203,9.432859667,9.028201333,0.982844667,1386551.596,400.3602023,325.1213063,400.8602023,699.3786937,25322.54264,330.3829723,77.666526,648.1382037,385.907119,305.2642533,10.25068967,10.407248,10.094131,29.85123133,0.995701667,4503.056525,492.7968127,275.6008773,493.2968127,748.8991227,37145.59684,342.1193623,109.5633343,789.648824,423.218375,304.994336,9.954274667,10.568658,9.339891667,127.4011673,0.981616333,10992.11374,491.9232173,575.8012063,492.4232173,448.6987937,73967.36591,376.03505,196.849595,1195.487,538.7360403,303.3284253,10.21459767,10.78732367,9.641871667,15.07973333,0.982619,37874.35099
Average,,,,57952.59603,2457952.596,2457952.596,2457952.602,#DIV/0!,2.278101333,25.896976,-26.865358,30,18.529422,-14.315436,10,20,30,3.218766333,0.226422,0.382292333,1.168529333,0.016685667,0.003615667,0.004501667,0.012046,192.969265,62.62907167,84.94088467,97.04870067,178795.7441,894.3655507,397.3854717,441.2688167,397.8854717,583.2311833,575504.2571,782.8194887,735.2259263,11308.66374,2670.75228,845.60531,8.893251333,9.261833667,8.524668667,335.844619,0.98408,4019864.239,330.4651383,375.287028,330.9651383,649.212972,33006.06631,499.587722,66.076093,1428.971476,948.2447167,843.250889,9.291017,9.082087,9.499946667,300.0493987,0.992068667,12376.88374,423.0314353,325.680672,423.5314353,698.819328,49446.29839,510.1570057,96.964196,1783.318359,999.7271373,842.4267267,8.874185,9.321830667,8.426538667,339.3622963,0.979997667,30538.33154,421.907128,625.9504317,422.407128,398.5495683,96343.37943,538.5469803,178.9496393,2560.676676,1149.547952,841.4009997,9.002226333,9.336661667,8.667791667,337.1756393,0.988169,107447.4417
average,,,,57953.59983,2457953.6,2457953.6,2457953.605,#DIV/0!,2.20336,26.855838,-26.90622,30,18.529422,-14.315436,9,20,30,3.315097667,0.218427667,0.378495,1.203474667,0.021441,0.004541333,0.005647333,0.015749,154.6271293,48.10177467,67.02568967,76.41955667,181564.2023,1142.845964,590.4679977,619.167426,590.9679977,405.332574,601901.5408,893.8244853,673.3989927,12202.34896,4304.641838,1947.304222,8.468117333,8.561772667,8.374461667,263.1964293,0.997408333,5041515.8,523.484319,553.2557773,523.984319,471.2442227,32550.44129,644.5220437,50.50315967,2474.382975,2060.909963,1933.099444,8.72411,8.387059333,9.061159667,152.8667543,0.991966333,13494.8031,616.0022223,503.5117553,616.5022223,520.9882447,49847.88221,653.618508,76.26604133,2785.593424,2130.176839,1934.433901,8.528423667,8.670588,8.38626,208.770286,0.996972333,33947.34497,615.082697,803.8649327,615.582697,220.6350673,99165.87882,680.7839197,145.666748,3650.16569,2330.831444,1942.964158,8.536058333,8.600598667,8.471517667,261.8842017,0.997944667,134236.5332
average,,,,57954.67815,2457954.678,2457954.678,2457954.684,#DIV/0!,1.829925,33.01760467,-26.78782433,30,18.529422,-14.315436,9,20,30,3.568006667,0.227555333,0.388338,1.151846,0.054269333,0.010882,0.01353,0.035148333,65.897992,20.944265,28.77914933,32.78327533,34659.36167,513.663982,806.8052797,356.067053,807.3052797,668.432947,123735.7861,402.7994453,306.9362827,2204.110474,832.0025883,344.2434667,9.034556333,9.633254333,8.435858,242.111716,0.980779667,160751.4195,739.741529,290.0064743,740.241529,734.4935257,6409.903257,290.4768853,22.067059,462.1328633,367.83302,342.7280553,9.194539667,9.133436667,9.255642,52.324178,0.996040667,673.7899787,832.686936,240.3672153,833.186936,784.1327847,9688.122573,294.2401493,32.923284,517.8187257,381.4001567,343.407519,8.942446333,9.591203667,8.293689667,16.61374833,0.956682,1402.49374,831.5233457,541.005857,832.0233457,483.494143,18561.33584,304.788763,60.89144467,648.7028197,415.982806,343.460085,9.116511667,9.819334667,8.413688,122.7309877,0.974001,3827.355892
average,,,,57955.81604,2457955.816,2457955.816,2457955.822,#DIV/0!,3.431986,16.71761167,-25.183719,30,18.529422,-14.315436,10,20,30,4.268898333,0.227997667,0.376425,1.178095,0.027762333,0.004611,0.005678,0.015460333,153.8268633,49.45819433,66.310553,76.21953133,123791.2339,786.2925313,786.823703,426.7644617,787.323703,597.7355383,528345.8634,730.4440887,723.3086917,6673.960937,2329.062936,655.3341127,10.24425633,10.28746233,10.20105033,318.6068913,0.995403667,1711910.332,719.777771,360.7766833,720.277771,663.7233167,22987.16205,440.3403307,52.19743333,913.3108113,723.840211,650.4870843,10.596412,10.380858,10.81196533,224.721813,0.993781,3164.242772,812.0718167,311.3414293,812.5718167,713.1585707,33847.47833,448.8716343,75.40516167,1056.433146,758.016367,650.2176173,10.309675,10.39491933,10.22443133,324.1574013,0.995797333,7280.793639,811.863583,611.3488393,812.363583,413.1511607,66956.59351,472.088695,141.8213483,1423.205729,863.9511927,650.0463427,10.28020433,10.30102933,10.259379,316.3872553,0.994745667,27261.81566
average,,,,57959.58742,2457959.587,2457959.587,2457959.593,#DIV/0!,2.162641667,27.409584,-25.10932867,30,18.529422,-14.315436,10,20,30,10.90527767,0.226852,0.380995333,1.170228667,0.056547667,0.003732667,0.004632,0.012427667,192.8639057,60.78024767,82.264915,94.175887,200515.4969,1032.706336,631.2761657,415.7206017,631.7761657,608.7793983,2186560.934,1331.872507,1641.733607,33136.99349,8187.216435,1201.398755,9.431173667,9.903941667,8.958405333,352.0379687,0.988409333,43478851.99,564.3602167,349.7135043,564.8602167,674.7864957,37074.75326,578.474056,64.111536,1711.806966,1297.004384,1178.430322,9.848992333,9.826101333,9.871883333,243.3653593,0.998971,11460.20244,656.9005617,300.072215,657.4005617,724.427785,55319.77139,589.9791527,93.782554,2036.278524,1355.08076,1178.714948,9.364352,9.807288,8.921416333,229.81656,0.988852667,29204.81466,655.876359,600.428846,656.376359,424.071154,108120.9722,619.4947513,174.566042,2748.195638,1520.158733,1176.553922,9.592002667,9.981466667,9.202538333,236.2657253,0.992584667,101494.6282
average,,,,57960.62843,2457960.628,2457960.628,2457960.634,#DIV/0!,1.887231667,31.885188,-25.18581467,30,18.529422,-14.315436,10,20,30,16.03918467,0.226391667,0.378737,1.177250333,0.049157,0.002082667,0.002666333,0.007299,326.3691603,108.734999,142.078853,161.3329607,187977.5441,568.856767,649.4442893,380.6311013,649.9442893,643.8688987,3014924.408,1444.17929,2087.488767,40663.23438,9778.384259,237.4842317,9.758463667,10.17534467,9.341582667,348.4166067,0.989293,73583002.57,582.5122307,314.6230723,583.0122307,709.8769277,34703.4235,299.78163,115.757786,648.5075073,310.1457723,200.6673473,10.138593,10.06881,10.20837567,230.666351,0.998751667,8814.803124,674.961816,264.9630957,675.461816,759.5369043,51634.93975,316.22145,163.282758,914.738627,363.3804673,198.9324387,9.694377333,10.133293,9.255461333,347.5613283,0.987801,22175.1169,674.1632263,565.356513,674.6632263,459.143487,101639.1809,365.6945463,277.9196363,1541.653035,522.140976,199.4664297,9.837436667,10.25746067,9.417412667,232.668283,0.990970333,80889.74728
average,,,,57964.72344,2457964.723,2457964.723,2457964.728,#DIV/0!,2.100915667,28.29554333,-25.10409,20,18.529422,-14.315436,12,24,36,24.31549733,0.221858,0.372569333,1.207542667,0.123375,0.003565,0.004462333,0.012628,197.2075397,62.27197067,83.53137867,95.651314,121049.4996,610.960671,645.3381143,435.1188697,645.8381143,589.3811303,2942969.507,1438.073595,2046.343077,22809.31315,6756.241992,234.71084,12.46736833,11.81055233,13.12418367,289.7645107,0.980960333,24612049.59,578.2662647,369.634577,578.7662647,654.865423,21980.25293,334.2597923,65.762953,391.5133257,258.2286797,209.5208227,12.54619233,11.41684933,13.67553467,282.475668,0.959931333,1631.551047,670.6646827,319.538146,671.1646827,704.961854,32850.77781,345.5976123,95.05497033,480.4360657,281.5281523,209.1174353,12.370079,11.55752533,13.18263267,282.7055163,0.978588667,3451.172539,670.37434,619.8504373,670.87434,404.6495627,66218.46891,376.9665013,175.6525973,725.0517373,356.9589897,210.7795143,12.519001,11.89810067,13.139901,289.6552093,0.983055,12546.6687
average,,,,57965.57645,2457965.576,2457965.576,2457965.581,#DIV/0!,2.112203,28.12916167,-25.05170267,30,18.529422,-14.315436,9,20,30,20.513343,0.224839,0.378744333,1.182255333,0.148484667,0.0053,0.006493333,0.017691333,138.234638,42.44297033,58.35789033,66.85429367,187979.0923,1358.021502,494.0997393,466.3908567,494.5997393,558.1091433,3856075.023,1774.45435,2173.167987,61202.71484,18008.8512,2867.129399,8.856524333,8.657528333,9.05552,220.191982,0.996961,169537759,427.1028107,400.4682083,427.6028107,624.0317917,34506.33747,773.598552,44.62104967,3450.266276,2969.673728,2835.06071,9.038574667,8.480666333,9.596483333,211.9011523,0.983838667,14330.67803,519.6408013,350.7410607,520.1408013,673.7589393,51634.90741,778.69766,66.356522,3747.557943,3042.076751,2839.303219,8.830816333,8.573605333,9.088027333,212.1280413,0.995285667,32896.53145,518.9686007,651.0380523,519.4686007,373.4619477,101837.8474,799.611519,127.4519793,4533.22461,3232.031721,2832.659117,8.862237,8.652198333,9.072275667,220.4356077,0.996339,121658.3112
average,,,,57966.59415,2457966.594,2457966.594,2457966.599,#DIV/0!,1.967107667,30.436778,-25.057989,30,18.529422,-14.315436,9,20,30,18.89487267,0.222131667,0.378568,1.191313,0.074658,0.002758,0.003488,0.009643667,253.1000503,80.537252,108.5475433,123.555175,174809.5558,685.960746,519.549989,482.6819643,520.049989,541.8180357,3302992.69,1525.20739,2165.599108,60331.23177,13484.11086,564.884589,8.209006667,8.513163667,7.904849333,337.42832,0.988668333,168788475.4,452.577442,416.714237,453.077442,607.785763,31771.94428,373.2274013,85.13327367,1119.917806,661.3360673,536.5758263,8.518968667,8.452269667,8.585667,308.9130673,0.992197667,14411.6733,545.02834,367.0522867,545.52834,657.4477133,48004.69716,386.7872047,124.1220647,1450.210043,725.7566193,536.4900337,8.191657,8.485148333,7.898165,337.6861437,0.989542333,36207.81803,544.372797,667.384643,544.872797,357.115357,95032.91438,426.1893237,222.982943,2263.866374,910.5423207,537.3780847,8.295359333,8.547375333,8.043344,336.745857,0.992301,134791.9455
